Open1,High1,Low1,Volume1,Open2,High2,Low2,Volume2,Open3,High3,Low3,Volume3,Date,target
164.88,172.01,164.77,34581850,172.58,174.23,172.08,26750260,170.97,172.48,168.2,34949690,2018-04-09,169.88
307.24,310.43,306.2,42621540,310.6,312.67,308.25,35217270,311.64,317.07,311.15,30521720,2020-01-14,316.7
174.65,175.57,172.85,28204640,172.4,173.94,170.34,31644240,168.99,170.66,168.42,23793830,2019-02-11,171.05
156.29,157.42,156.2,17633730,156.91,157.55,155.27,21175670,157.23,157.83,156.78,16916650,2017-10-27,159.29
116.74,117.5,116.68,21337310,116.8,117.4,116.78,23724430,116.35,116.51,115.64,26043820,2016-12-23,115.59
172.4,173.13,171.65,20442740,173.63,174.17,172.46,40122100,174.88,177.2,174.86,29385650,2017-12-19,175.03
176.23,177.99,174.99,27043580,175.6,177.92,170.27,40396070,175.44,179.83,174.52,30967960,2019-06-05,184.28
118.34,120.24,118.22,34412090,120.0,120.5,119.71,23687350,119.4,120.09,119.37,25554290,2017-01-20,120.45
105.0,105.65,104.51,27997990,103.91,105.3,103.91,52979780,96.0,98.71,95.68,114436300,2016-04-28,97.61
142.9,144.75,142.9,18527000,144.11,145.95,143.37,21080580,144.73,145.85,144.38,18647220,2017-07-12,145.87
110.0,112.28,109.49,52720620,112.73,112.75,111.44,30386830,110.82,112.45,110.68,32970790,2015-10-14,111.29
138.85,139.43,138.82,17048800,139.3,139.65,138.84,15281850,139.41,140.75,139.03,25676720,2017-03-16,140.72
163.89,168.07,163.72,44651420,167.9,169.65,166.94,35779520,169.87,169.94,165.61,33482970,2017-11-02,167.64
221.16,221.83,217.27,30280450,218.93,222.99,216.76,28802550,222.3,222.64,219.34,22692880,2018-10-18,217.86
106.27,107.65,106.18,39546610,107.52,108.37,107.16,28010430,108.23,108.94,108.01,26296260,2016-08-10,108.71
257.33,257.85,255.38,25817950,257.05,258.19,256.32,19974430,256.77,257.49,255.37,18966120,2019-11-07,258.74
162.09,162.24,160.36,21905160,160.86,161.15,158.53,28411740,160.5,162.05,159.89,31506890,2017-09-12,162.61
102.37,103.75,101.37,46026600,102.39,102.83,100.96,35890740,100.78,101.76,100.4,31538710,2016-03-09,101.31
220.0,220.79,217.02,39763300,217.73,220.13,217.56,21158140,219.96,220.82,219.12,18386470,2019-09-18,221.06
310.06,311.77,304.88,40485010,312.6,318.4,312.19,40558490,324.45,327.85,321.38,54149930,2020-01-30,320.54
152.02,152.27,150.56,46575410,149.99,151.83,149.16,44366140,151.78,153.92,151.69,35907770,2017-09-27,153.8
156.86,158.16,149.63,95497900,148.15,151.55,146.59,37169230,148.3,157.23,146.72,58133850,2018-12-27,155.84
175.69,177.75,173.97,27413060,175.94,176.0,174.54,19238480,174.67,175.49,173.94,20755140,2019-03-07,173.87
284.69,284.89,282.92,12119710,284.82,289.98,284.7,23334000,291.12,293.97,288.12,36592940,2019-12-30,289.46
169.03,170.44,168.91,25656110,170.49,171.0,168.82,23285760,169.2,172.89,168.79,34260890,2017-12-12,172.15
194.61,195.96,193.61,19005150,194.99,195.19,190.1,23975350,191.9,192.2,189.07,20912890,2018-07-31,190.3
109.95,110.42,108.12,31735810,108.91,109.77,108.17,23553790,108.97,110.61,108.83,29357940,2016-04-12,109.34
112.49,112.78,110.04,53142590,108.97,110.45,108.51,49904460,111.65,112.56,110.32,54507300,2015-09-09,113.76
194.7,196.79,193.6,21674630,191.55,193.59,190.3,18761470,192.9,194.96,192.17,14669140,2019-06-18,196.05
191.78,191.8,189.93,16365720,189.69,192.55,189.69,20182050,191.78,192.43,190.17,20670830,2018-07-23,190.68
177.96,180.0,177.39,32130360,180.29,182.39,180.21,32191070,182.59,183.5,179.24,31464170,2018-03-14,180.32
204.59,206.11,203.5,16866820,204.05,205.09,203.27,14107450,204.0,205.88,203.7,18582160,2019-07-19,205.79
114.31,114.56,113.51,24336440,115.02,116.75,114.72,36087910,117.7,118.69,116.2,63963010,2016-10-12,117.35
90.0,91.67,90.0,44223040,92.39,94.39,91.65,61192340,94.55,94.7,93.01,46858910,2016-05-18,94.16
315.31,319.64,313.63,34154130,323.52,324.76,318.95,29706720,322.57,325.22,320.26,26356390,2020-02-07,322.37
367.85,370.47,363.64,28510370,370.0,375.78,369.87,29663910,375.41,378.62,372.23,28106110,2020-07-08,376.72
113.84,115.92,113.75,43293350,115.04,116.2,114.98,33962370,115.38,116.73,115.23,46286150,2016-12-16,116.47
184.46,184.94,181.21,40537700,180.95,182.39,176.27,41141250,171.76,174.78,170.42,42704910,2018-12-07,173.49
100.0,100.46,99.74,26219110,99.83,101.0,99.13,32690080,99.26,99.3,98.31,28218240,2016-07-25,98.25
112.95,117.44,112.1,99202400,115.97,116.5,114.12,52828890,114.58,116.25,114.5,38610120,2015-08-10,116.53
153.58,155.45,152.89,27715140,154.34,154.45,153.46,25277680,153.9,155.81,153.78,26591850,2017-06-07,155.02
114.08,114.35,111.63,68176940,110.43,111.9,105.65,127246600,94.87,108.8,92.0,161882500,2015-08-25,111.11
151.5,151.74,150.19,17170490,149.99,150.44,148.88,25111310,150.58,152.44,149.9,21466370,2017-07-25,151.8
155.48,158.13,154.32,33508960,155.79,156.33,153.66,26147280,156.25,158.13,154.11,39914850,2019-01-30,163.25
295.06,301.0,294.46,36937800,300.46,303.24,298.87,35583440,303.22,305.17,301.97,28803760,2020-05-08,305.64
174.35,175.61,173.93,20523870,174.55,175.06,173.41,21532200,173.16,174.3,173.0,23751690,2018-01-11,174.59
96.75,97.65,96.73,23317990,97.17,97.7,97.12,24129530,97.41,97.67,96.84,25879680,2016-07-14,97.39
242.8,245.7,238.97,32470020,250.9,263.11,249.38,50455070,270.8,271.7,259.0,50721830,2020-04-08,262.74
170.1,171.0,169.7,22224400,171.39,172.48,169.92,22389660,169.71,171.26,169.38,21785180,2019-02-15,171.25
174.66,176.24,174.33,24358920,175.11,176.1,173.14,29422610,175.11,175.38,174.27,25129510,2017-11-13,173.5
223.25,228.26,222.4,48696960,226.51,228.87,226.0,43177540,228.41,229.18,226.63,27363960,2018-09-05,228.99
156.25,158.13,154.11,39914850,163.25,166.15,160.23,60800480,166.11,169.0,164.56,40613260,2019-02-01,166.96
148.7,148.83,145.9,54571440,149.56,151.82,148.52,40622910,151.29,154.53,149.63,45034370,2019-01-10,152.5
96.82,97.97,96.42,53454620,104.27,104.35,102.75,92143920,102.83,104.45,102.82,38771840,2016-07-29,104.19
